Employees,PAYE,Date,Cluster
26893849,2151,July 2014,0
26865396,2141,August 2014,0
26945380,2134,September 2014,0
26965178,2133,October 2014,0
27159526,2159,November 2014,0
27036320,2256,December 2014,0
27008211,2243,January 2015,0
27044403,2345,February 2015,2
27168394,2432,March 2015,2
27256231,2213,April 2015,0
27374760,2190,May 2015,0
27545083,2207,June 2015,3
27654597,2190,July 2015,3
27589501,2172,August 2015,3
27667062,2160,September 2015,3
27732200,2164,October 2015,3
27879548,2181,November 2015,3
27723593,2257,December 2015,3
27610449,2241,January 2016,3
27625227,2350,February 2016,2
27686085,2463,March 2016,2
27741911,2249,April 2016,3
27850628,2232,May 2016,3
27996784,2253,June 2016,3
28088112,2234,July 2016,3
27987478,2213,August 2016,3
28042745,2222,September 2016,3
28077222,2225,October 2016,3
28213802,2236,November 2016,3
28121565,2311,December 2016,1
27937656,2295,January 2017,3
27959346,2420,February 2017,2
28048657,2540,March 2017,4
28114924,2302,April 2017,1
28224454,2300,May 2017,1
28364254,2315,June 2017,1
28439059,2285,July 2017,1
28371880,2276,August 2017,1
28427372,2280,September 2017,1
28465998,2278,October 2017,1
28599938,2294,November 2017,1
28503401,2380,December 2017,1
28329746,2376,January 2018,1
28322029,2504,February 2018,4
28359126,2624,March 2018,4
28462802,2366,April 2018,1
28544721,2368,May 2018,1
28667756,2401,June 2018,1
28760549,2368,July 2018,1
28700693,2368,August 2018,1
