Employees,PAYE
26893849,2151
26865396,2141
26945380,2134
26965178,2133
27159526,2159
27036320,2256
27008211,2243
27044403,2345
27168394,2432
27256231,2213
27374760,2190
27545083,2207
27654597,2190
27589501,2172
27667062,2160
27732200,2164
27879548,2181
27723593,2257
27610449,2241
27625227,2350
27686085,2463
27741911,2249
27850628,2232
27996784,2253
28088112,2234
27987478,2213
28042745,2222
28077222,2225
28213802,2236
28121565,2311
27937656,2295
27959346,2420
28048657,2540
28114924,2302
28224454,2300
28364254,2315
28439059,2285
28371880,2276
28427372,2280
28465998,2278
28599938,2294
28503401,2380
28329746,2376
28322029,2504
28359126,2624
28462802,2366
28544721,2368
28667756,2401
28760549,2368
28700693,2368
