Employees,PAYE
26893849.0,2151.0
26865396.0,2141.0
26945380.0,2134.0
26965178.0,2133.0
27159526.0,2159.0
27036320.0,2256.0
27008211.0,2243.0
27044403.0,2345.0
27168394.0,2432.0
27256231.0,2213.0
27374760.0,2190.0
27545083.0,2207.0
27654597.0,2190.0
27589501.0,2172.0
27667062.0,2160.0
27732200.0,2164.0
27879548.0,2181.0
27723593.0,2257.0
27610449.0,2241.0
27625227.0,2350.0
27686085.0,2463.0
27741911.0,2249.0
27850628.0,2232.0
27996784.0,2253.0
28088112.0,2234.0
27987478.0,2213.0
28042745.0,2222.0
28077222.0,2225.0
28213802.0,2236.0
28121565.0,2311.0
27937656.0,2295.0
27959346.0,2420.0
28048657.0,2540.0
28114924.0,2302.0
28224454.0,2300.0
28364254.0,2315.0
28439059.0,2285.0
28371880.0,2276.0
28427372.0,2280.0
28465998.0,2278.0
28599938.0,2294.0
28503401.0,2380.0
28329746.0,2376.0
28322029.0,2504.0
28359126.0,2624.0
28462802.0,2366.0
28544721.0,2368.0
28667756.0,2401.0
28760549.0,2368.0
